lat,lon,nadmorska_vyska_m,teplota_max_C,srazky_mm,vitr_max_kmh,slunce_MJm2,riziko_pozaru
0.0,0.0,0.32158590308370044,0.23842592592592593,0.059101654846335706,0.7011494252873562,0.06664388243335612,0
0.5,0.9999999999999998,0.8876651982378856,0.12731481481481483,0.052009456264775426,0.5775862068965516,0.08475734791524266,0
0.75,0.0,0.4405286343612335,0.18287037037037035,0.07092198581560284,0.6408045977011494,0.07313738892686261,0
0.75,0.23076923076923062,0.20704845814977973,0.21990740740740738,0.10165484633569741,0.6379310344827586,0.15481886534518113,0
0.0,0.6923076923076923,0.031938325991189426,0.31712962962962965,0.028368794326241138,0.7816091954022988,0.144565960355434,0
1.0,0.9999999999999998,0.06938325991189426,0.23379629629629628,0.054373522458628844,0.8189655172413791,0.12200956937799044,0
0.75,0.3076923076923077,0.2555066079295154,0.22685185185185183,0.14420803782505912,0.7442528735632183,0.14080656185919344,0
0.75,0.38461538461538436,0.058370044052863446,0.2361111111111111,0.11820330969267141,0.8045977011494251,0.1172248803827751,0
0.0,0.6153846153846156,0.06497797356828194,0.30787037037037035,0.049645390070921995,0.8333333333333331,0.15345181134654823,0
0.75,0.46153846153846145,0.026431718061673992,0.24768518518518517,0.0756501182033097,0.7672413793103448,0.12337662337662338,0
0.0,0.5384615384615381,0.314977973568282,0.27314814814814814,0.06855791962174941,0.7385057471264367,0.1414900888585099,0
0.75,0.5384615384615381,0.07488986784140966,0.23842592592592593,0.11347517730496455,0.7873563218390804,0.1363636363636364,0
1.0,0.6923076923076923,0.6662995594713657,0.1412037037037037,0.06146572104018914,0.7385057471264367,0.1500341763499658,0
0.75,0.6153846153846156,0.08039647577092512,0.22685185185185183,0.19621749408983455,0.807471264367816,0.13260423786739578,0
0.0,0.46153846153846145,0.4350220264317181,0.21527777777777776,0.054373522458628844,0.7442528735632183,0.11346548188653453,0
0.75,0.6923076923076923,0.5121145374449338,0.16666666666666666,0.17966903073286053,0.6149425287356322,0.11825017088174984,0
0.0,0.38461538461538436,0.8204845814977975,0.15046296296296297,0.09456264775413713,0.6580459770114941,0.10355434039644566,0
0.75,0.846153846153846,0.3226872246696036,0.22685185185185183,0.026004728132387713,0.6925287356321839,0.13328776486671223,0
0.75,0.9999999999999998,0.05947136563876654,0.25231481481481477,0.04255319148936171,0.89367816091954,0.11244019138755983,0
0.0,0.3076923076923077,0.7455947136563876,0.14351851851851852,0.19858156028368798,0.6695402298850575,0.06664388243335612,0
1.0,0.0,0.18942731277533043,0.21990740740740738,0.13711583924349882,0.6436781609195401,0.09295967190704033,0
1.0,0.07692307692307687,0.38325991189427316,0.19444444444444445,0.2931442080378251,0.7068965517241378,0.0991114149008886,0
0.0,0.23076923076923062,0.2169603524229075,0.22685185185185183,0.1914893617021277,0.6379310344827586,0.05263157894736842,0
1.0,0.15384615384615397,0.4592511013215859,0.16203703703703703,0.21513002364066194,0.89367816091954,0.1291866028708134,0
0.0,0.15384615384615397,0.14427312775330398,0.24768518518518517,0.06619385342789598,0.7471264367816092,0.07006151742993848,0
1.0,0.5384615384615381,0.28303964757709255,0.1736111111111111,0.13947990543735228,0.7270114942528736,0.14798359535201644,0
1.0,0.7692307692307694,0.09911894273127753,0.23148148148148145,0.04255319148936171,0.9137931034482759,0.13089542036910462,0
1.0,0.23076923076923062,0.17070484581497797,0.22916666666666666,0.13475177304964542,0.6063218390804597,0.14593301435406697,0
0.5,0.9230769230769231,0.11674008810572689,0.24768518518518517,0.054373522458628844,0.6954022988505747,0.08509911141490088,0
0.5,0.846153846153846,0.39867841409691634,0.21064814814814814,0.059101654846335706,0.7385057471264367,0.12303485987696515,0
0.25,0.38461538461538436,0.3094713656387666,0.23842592592592593,0.07092198581560284,0.7327586206896551,0.09774436090225565,0
